Age group ,Population,At least one dose,At least one dose percent,Fully Vaccinated,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
75+,284821,272782,95.8,252306,88.6,194175,68.2,11/22/2022
Unknown,,671,,584,,,,11/22/2022
0-4,183070,23597,12.9,14191,7.8,101,0.1,11/30/2022
5-9,197078,100830,51.2,90074,45.7,14387,7.3,11/30/2022
10-14,214123,156604,73.1,144214,67.4,45582,21.3,11/30/2022
15-24,482051,408874,84.8,355584,73.8,165862,34.4,11/30/2022
25-34,455862,401091,88,352054,77.2,163702,35.9,11/30/2022
35-44,437481,397317,90.8,359855,82.3,195062,44.6,11/30/2022
45-54,466073,428281,91.9,398328,85.5,248198,53.3,11/30/2022
55-64,518115,500230,96.5,470245,90.8,332888,64.2,11/30/2022
65-74,367270,366315,99.7,343104,93.4,272310,74.1,11/30/2022
75+,284821,272558,95.7,252274,88.6,194315,68.2,11/30/2022
Unknown,,675,,588,,,,11/30/2022
0-4,183070,23868,13,14616,8,114,0.1,12/07/2022
5-9,197078,100881,51.2,90221,45.8,14431,7.3,12/07/2022
10-14,214123,156578,73.1,144261,67.4,45625,21.3,12/07/2022
15-24,482051,408792,84.8,355682,73.8,166246,34.5,12/07/2022
25-34,455862,400704,87.9,352126,77.2,164451,36.1,12/07/2022
35-44,437481,396803,90.7,359858,82.3,195791,44.8,12/07/2022
45-54,466073,427757,91.8,398286,85.5,248921,53.4,12/07/2022
55-64,518115,499708,96.4,470156,90.7,333567,64.4,12/07/2022
65-74,367270,366007,99.7,343045,93.4,272626,74.2,12/07/2022
75+,284821,272390,95.6,252251,88.6,194486,68.3,12/07/2022
Unknown,,680,,593,,,,12/07/2022
0-4,183070,24158,13.2,14995,8.2,118,0.1,12/14/2022
5-9,197078,100946,51.2,90353,45.8,14448,7.3,12/14/2022
10-14,214123,156558,73.1,144314,67.4,45641,21.3,12/14/2022
15-24,482051,408564,84.8,355678,73.8,166436,34.5,12/14/2022
25-34,455862,400305,87.8,352145,77.2,164793,36.1,12/14/2022
35-44,437481,396345,90.6,359876,82.3,196232,44.9,12/14/2022
45-54,466073,427254,91.7,398244,85.4,249345,53.5,12/14/2022
55-64,518115,499300,96.4,470117,90.7,333890,64.4,12/14/2022
65-74,367270,365809,99.6,343021,93.4,272793,74.3,12/14/2022
75+,284821,272272,95.6,252242,88.6,194611,68.3,12/14/2022
Unknown,,686,,598,,,,12/14/2022
0-4,183070,24481,13.4,15306,8.4,118,0.1,12/21/2022
5-9,197078,100969,51.2,90493,45.9,14486,7.4,12/21/2022
10-14,214123,156532,73.1,144388,67.4,45716,21.4,12/21/2022
15-24,482051,408252,84.7,355742,73.8,166738,34.6,12/21/2022
25-34,455862,399875,87.7,352147,77.2,165190,36.2,12/21/2022
35-44,437481,395779,90.5,359875,82.3,196750,45,12/21/2022
45-54,466073,426773,91.6,398246,85.4,249822,53.6,12/21/2022
55-64,518115,498862,96.3,470103,90.7,334262,64.5,12/21/2022
65-74,367270,365646,99.6,343025,93.4,272892,74.3,12/21/2022
75+,284821,272137,95.5,252239,88.6,194706,68.4,12/21/2022
Unknown,,694,,603,,,,12/21/2022
0-4,183070,24687,13.5,15486,8.5,122,0.1,12/28/2022
5-9,197078,100990,51.2,90591,46,14505,7.4,12/28/2022
10-14,214123,156471,73.1,144436,67.5,45796,21.4,12/28/2022
15-24,482051,408019,84.6,355739,73.8,166928,34.6,12/28/2022
25-34,455862,399412,87.6,352120,77.2,165515,36.3,12/28/2022
35-44,437481,395322,90.4,359843,82.3,197058,45,12/28/2022
45-54,466073,426301,91.5,398185,85.4,250120,53.7,12/28/2022
55-64,518115,498470,96.2,470054,90.7,334477,64.6,12/28/2022
65-74,367270,365394,99.5,343010,93.4,273014,74.3,12/28/2022
75+,284821,271931,95.5,252203,88.5,194758,68.4,12/28/2022
Unknown,,697,,608,,,,12/28/2022
0-4,183070,24878,13.6,15629,8.5,123,0.1,01/04/2023
5-9,197078,100990,51.2,90661,46,14523,7.4,01/04/2023
10-14,214123,156425,73.1,144479,67.5,45854,21.4,01/04/2023
15-24,482051,407889,84.6,355776,73.8,167022,34.6,01/04/2023
25-34,455862,399204,87.6,352136,77.2,165685,36.3,01/04/2023
35-44,437481,395026,90.3,359846,82.3,197310,45.1,01/04/2023
45-54,466073,425992,91.4,398173,85.4,250301,53.7,01/04/2023
55-64,518115,498115,96.1,470018,90.7,334630,64.6,01/04/2023
65-74,367270,365072,99.4,343011,93.4,273125,74.4,01/04/2023
75+,284821,271646,95.4,252205,88.5,194837,68.4,01/04/2023
Unknown,,704,,616,,,,01/04/2023
0-4,183070,25205,13.8,15874,8.7,127,0.1,01/12/2023
5-9,197078,101081,51.3,90827,46.1,14552,7.4,01/12/2023
10-14,214123,156431,73.1,144550,67.5,45910,21.4,01/12/2023
15-24,482051,407859,84.6,355868,73.8,167129,34.7,01/12/2023
25-34,455862,399167,87.6,352225,77.3,165837,36.4,01/12/2023
35-44,437481,394892,90.3,359920,82.3,197503,45.1,01/12/2023
45-54,466073,425797,91.4,398202,85.4,250486,53.7,01/12/2023
55-64,518115,497919,96.1,470036,90.7,334780,64.6,01/12/2023
65-74,367270,364911,99.4,343012,93.4,273236,74.4,01/12/2023
